"Column Name","Label"
"S2704_C01_011MA","Annotation of Margin of Error!!Total MOE!!VA health care coverage alone or in combination!!Under 19"
"S2704_C01_012E","Estimate!!Total!!VA health care coverage alone or in combination!!19 to 64 years"
"S2704_C01_012EA","Annotation of Estimate!!Total!!VA health care coverage alone or in combination!!19 to 64 years"
"S2704_C01_012M","Margin of Error!!Total MOE!!VA health care coverage alone or in combination!!19 to 64 years"
"S2704_C01_012MA","Annotation of Margin of Error!!Total MOE!!VA health care coverage alone or in combination!!19 to 64 years"
"S2704_C01_013E","Estimate!!Total!!VA health care coverage alone or in combination!!65 years and over"
"S2704_C01_013EA","Annotation of Estimate!!Total!!VA health care coverage alone or in combination!!65 years and over"
"S2704_C01_013M","Margin of Error!!Total MOE!!VA health care coverage alone or in combination!!65 years and over"
"S2704_C01_013MA","Annotation of Margin of Error!!Total MOE!!VA health care coverage alone or in combination!!65 years and over"
"S2704_C01_014E","Estimate!!Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Below 138 percent of the poverty threshold"
"S2704_C01_014M","Margin of Error!!Total MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Below 138 percent of the poverty threshold"
"S2704_C01_014MA","Annotation of Margin of Error!!Total MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Below 138 percent of the poverty threshold"
"S2704_C01_014EA","Annotation of Estimate!!Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Below 138 percent of the poverty threshold"
"S2704_C01_015E","Estimate!!Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!At or above 138 percent of the poverty threshold"
"S2704_C01_015EA","Annotation of Estimate!!Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!At or above 138 percent of the poverty threshold"
"S2704_C01_015M","Margin of Error!!Total MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!At or above 138 percent of the poverty threshold"
"S2704_C01_015MA","Annotation of Margin of Error!!Total MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!At or above 138 percent of the poverty threshold"
"S2704_C01_016E","Estimate!!Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Worked full-time, year-round (19-64 years)"
"S2704_C01_016EA","Annotation of Estimate!!Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Worked full-time, year-round (19-64 years)"
"S2704_C01_016M","Margin of Error!!Total MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Worked full-time, year-round (19-64 years)"
"S2704_C01_016MA","Annotation of Margin of Error!!Total MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Worked full-time, year-round (19-64 years)"
"S2704_C01_017E","Estimate!!Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Under 6"
"S2704_C01_017EA","Annotation of Estimate!!Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Under 6"
"S2704_C01_017M","Margin of Error!!Total MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Under 6"
"S2704_C01_017MA","Annotation of Margin of Error!!Total MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Under 6"
"S2704_C01_018E","Estimate!!Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!6 to 18 years"
"S2704_C01_018EA","Annotation of Estimate!!Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!6 to 18 years"
"S2704_C01_018M","Margin of Error!!Total MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!6 to 18 years"
"S2704_C01_018MA","Annotation of Margin of Error!!Total MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!6 to 18 years"
"S2704_C01_019E","Estimate!!Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!19 to 25 years"
"S2704_C01_019M","Margin of Error!!Total MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!19 to 25 years"
"S2704_C01_019MA","Annotation of Margin of Error!!Total MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!19 to 25 years"
"S2704_C01_019EA","Annotation of Estimate!!Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!19 to 25 years"
"S2704_C01_020E","Estimate!!Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!26 to 34 years"
"S2704_C01_020EA","Annotation of Estimate!!Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!26 to 34 years"
"S2704_C01_020M","Margin of Error!!Total MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!26 to 34 years"
"S2704_C01_020MA","Annotation of Margin of Error!!Total MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!26 to 34 years"
"S2704_C01_021E","Estimate!!Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!35 to 44 years"
"S2704_C01_021M","Margin of Error!!Total MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!35 to 44 years"
"S2704_C01_021MA","Annotation of Margin of Error!!Total MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!35 to 44 years"
"S2704_C01_021EA","Annotation of Estimate!!Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!35 to 44 years"
"S2704_C01_022E","Estimate!!Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!45 to 54 years"
"S2704_C01_022EA","Annotation of Estimate!!Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!45 to 54 years"
"S2704_C01_022M","Margin of Error!!Total MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!45 to 54 years"
"S2704_C01_022MA","Annotation of Margin of Error!!Total MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!45 to 54 years"
"S2704_C01_023E","Estimate!!Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!55 to 64 years"
"S2704_C01_023M","Margin of Error!!Total MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!55 to 64 years"
"S2704_C01_023MA","Annotation of Margin of Error!!Total MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!55 to 64 years"
"S2704_C01_023EA","Annotation of Estimate!!Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!55 to 64 years"
"S2704_C01_024E","Estimate!!Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!65 to 74 years"
"S2704_C01_024EA","Annotation of Estimate!!Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!65 to 74 years"
"S2704_C01_024M","Margin of Error!!Total MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!65 to 74 years"
"S2704_C01_024MA","Annotation of Margin of Error!!Total MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!65 to 74 years"
"S2704_C01_025E","Estimate!!Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!75 years and over"
"S2704_C01_025EA","Annotation of Estimate!!Total!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!75 years and over"
"S2704_C01_025M","Margin of Error!!Total MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!75 years and over"
"S2704_C01_025MA","Annotation of Margin of Error!!Total MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!75 years and over"
"S2704_C01_026E","Estimate!!Total!!COVERAGE ALONE!!Public health insurance alone"
"S2704_C01_026EA","Annotation of Estimate!!Total!!COVERAGE ALONE!!Public health insurance alone"
"S2704_C01_026M","Margin of Error!!Total MOE!!COVERAGE ALONE!!Public health insurance alone"
"S2704_C01_026MA","Annotation of Margin of Error!!Total MOE!!COVERAGE ALONE!!Public health insurance alone"
"S2704_C01_027E","Estimate!!Total!!COVERAGE ALONE!!Public health insurance alone!!Medicare coverage alone"
"S2704_C01_027EA","Annotation of Estimate!!Total!!COVERAGE ALONE!!Public health insurance alone!!Medicare coverage alone"
"S2704_C01_027M","Margin of Error!!Total MOE!!COVERAGE ALONE!!Public health insurance alone!!Medicare coverage alone"
"S2704_C01_027MA","Annotation of Margin of Error!!Total MOE!!COVERAGE ALONE!!Public health insurance alone!!Medicare coverage alone"
"S2704_C01_028E","Estimate!!Total!!COVERAGE ALONE!!Public health insurance alone!!Medicaid/means tested coverage alone"
"S2704_C01_028EA","Annotation of Estimate!!Total!!COVERAGE ALONE!!Public health insurance alone!!Medicaid/means tested coverage alone"
"S2704_C01_028M","Margin of Error!!Total MOE!!COVERAGE ALONE!!Public health insurance alone!!Medicaid/means tested coverage alone"
"S2704_C01_028MA","Annotation of Margin of Error!!Total MOE!!COVERAGE ALONE!!Public health insurance alone!!Medicaid/means tested coverage alone"
"S2704_C01_029E","Estimate!!Total!!COVERAGE ALONE!!Public health insurance alone!!VA health care coverage alone"
"S2704_C01_029M","Margin of Error!!Total MOE!!COVERAGE ALONE!!Public health insurance alone!!VA health care coverage alone"
"S2704_C01_029MA","Annotation of Margin of Error!!Total MOE!!COVERAGE ALONE!!Public health insurance alone!!VA health care coverage alone"
"S2704_C01_029EA","Annotation of Estimate!!Total!!COVERAGE ALONE!!Public health insurance alone!!VA health care coverage alone"
"S2704_C02_001E","Estimate!!Public Coverage!!Civilian noninstitutionalized population"
"S2704_C02_001EA","Annotation of Estimate!!Public Coverage!!Civilian noninstitutionalized population"
"S2704_C02_001M","Margin of Error!!Public Coverage MOE!!Civilian noninstitutionalized population"
"S2704_C02_001MA","Annotation of Margin of Error!!Public Coverage MOE!!Civilian noninstitutionalized population"
"S2704_C03_001E","Estimate!!Percent Public Coverage!!Civilian noninstitutionalized population"
"S2704_C03_001M","Margin of Error!!Percent Public Coverage MOE!!Civilian noninstitutionalized population"
"S2704_C03_001MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!Civilian noninstitutionalized population"
"S2704_C03_001EA","Annotation of Estimate!!Percent Public Coverage!!Civilian noninstitutionalized population"
"S2704_C02_002E","Estimate!!Public Coverage!!Medicare coverage alone or in combination"
"S2704_C02_002M","Margin of Error!!Public Coverage MOE!!Medicare coverage alone or in combination"
"S2704_C02_002MA","Annotation of Margin of Error!!Public Coverage MOE!!Medicare coverage alone or in combination"
"S2704_C02_002EA","Annotation of Estimate!!Public Coverage!!Medicare coverage alone or in combination"
"S2704_C03_002E","Estimate!!Percent Public Coverage!!Medicare coverage alone or in combination"
"S2704_C03_002EA","Annotation of Estimate!!Percent Public Coverage!!Medicare coverage alone or in combination"
"S2704_C03_002M","Margin of Error!!Percent Public Coverage MOE!!Medicare coverage alone or in combination"
"S2704_C03_002MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!Medicare coverage alone or in combination"
"S2704_C02_003E","Estimate!!Public Coverage!!Medicare coverage alone or in combination!!Under 19"
"S2704_C02_003M","Margin of Error!!Public Coverage MOE!!Medicare coverage alone or in combination!!Under 19"
"S2704_C02_003MA","Annotation of Margin of Error!!Public Coverage MOE!!Medicare coverage alone or in combination!!Under 19"
"S2704_C02_003EA","Annotation of Estimate!!Public Coverage!!Medicare coverage alone or in combination!!Under 19"
"S2704_C03_003E","Estimate!!Percent Public Coverage!!Medicare coverage alone or in combination!!Under 19"
"S2704_C03_003EA","Annotation of Estimate!!Percent Public Coverage!!Medicare coverage alone or in combination!!Under 19"
"S2704_C03_003M","Margin of Error!!Percent Public Coverage MOE!!Medicare coverage alone or in combination!!Under 19"
"S2704_C03_003MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!Medicare coverage alone or in combination!!Under 19"
"S2704_C02_004E","Estimate!!Public Coverage!!Medicare coverage alone or in combination!!19 to 64 years"
"S2704_C02_004M","Margin of Error!!Public Coverage MOE!!Medicare coverage alone or in combination!!19 to 64 years"
"S2704_C02_004MA","Annotation of Margin of Error!!Public Coverage MOE!!Medicare coverage alone or in combination!!19 to 64 years"
"S2704_C02_004EA","Annotation of Estimate!!Public Coverage!!Medicare coverage alone or in combination!!19 to 64 years"
"S2704_C03_004E","Estimate!!Percent Public Coverage!!Medicare coverage alone or in combination!!19 to 64 years"
"S2704_C03_004M","Margin of Error!!Percent Public Coverage MOE!!Medicare coverage alone or in combination!!19 to 64 years"
"S2704_C03_004MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!Medicare coverage alone or in combination!!19 to 64 years"
"S2704_C03_004EA","Annotation of Estimate!!Percent Public Coverage!!Medicare coverage alone or in combination!!19 to 64 years"
"S2704_C02_005E","Estimate!!Public Coverage!!Medicare coverage alone or in combination!!65 years and over"
"S2704_C02_005M","Margin of Error!!Public Coverage MOE!!Medicare coverage alone or in combination!!65 years and over"
"S2704_C02_005MA","Annotation of Margin of Error!!Public Coverage MOE!!Medicare coverage alone or in combination!!65 years and over"
"S2704_C02_005EA","Annotation of Estimate!!Public Coverage!!Medicare coverage alone or in combination!!65 years and over"
"S2704_C03_005E","Estimate!!Percent Public Coverage!!Medicare coverage alone or in combination!!65 years and over"
"S2704_C03_005M","Margin of Error!!Percent Public Coverage MOE!!Medicare coverage alone or in combination!!65 years and over"
"S2704_C03_005MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!Medicare coverage alone or in combination!!65 years and over"
"S2704_C03_005EA","Annotation of Estimate!!Percent Public Coverage!!Medicare coverage alone or in combination!!65 years and over"
"S2704_C02_006E","Estimate!!Public Coverage!!Medicaid/means-tested public coverage alone or in combination"
"S2704_C02_006M","Margin of Error!!Public Coverage MOE!!Medicaid/means-tested public coverage alone or in combination"
"S2704_C02_006MA","Annotation of Margin of Error!!Public Coverage MOE!!Medicaid/means-tested public coverage alone or in combination"
"S2704_C02_006EA","Annotation of Estimate!!Public Coverage!!Medicaid/means-tested public coverage alone or in combination"
"S2704_C03_006E","Estimate!!Percent Public Coverage!!Medicaid/means-tested public coverage alone or in combination"
"S2704_C03_006EA","Annotation of Estimate!!Percent Public Coverage!!Medicaid/means-tested public coverage alone or in combination"
"S2704_C03_006M","Margin of Error!!Percent Public Coverage MOE!!Medicaid/means-tested public coverage alone or in combination"
"S2704_C03_006MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!Medicaid/means-tested public coverage alone or in combination"
"S2704_C02_007E","Estimate!!Public Coverage!!Medicaid/means-tested public coverage alone or in combination!!Under 19"
"S2704_C02_007M","Margin of Error!!Public Coverage MOE!!Medicaid/means-tested public coverage alone or in combination!!Under 19"
"S2704_C02_007MA","Annotation of Margin of Error!!Public Coverage MOE!!Medicaid/means-tested public coverage alone or in combination!!Under 19"
"S2704_C02_007EA","Annotation of Estimate!!Public Coverage!!Medicaid/means-tested public coverage alone or in combination!!Under 19"
"S2704_C03_007E","Estimate!!Percent Public Coverage!!Medicaid/means-tested public coverage alone or in combination!!Under 19"
"S2704_C03_007EA","Annotation of Estimate!!Percent Public Coverage!!Medicaid/means-tested public coverage alone or in combination!!Under 19"
"S2704_C03_007M","Margin of Error!!Percent Public Coverage MOE!!Medicaid/means-tested public coverage alone or in combination!!Under 19"
"S2704_C03_007MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!Medicaid/means-tested public coverage alone or in combination!!Under 19"
"S2704_C02_008E","Estimate!!Public Coverage!!Medicaid/means-tested public coverage alone or in combination!!19 to 64 years"
"S2704_C02_008EA","Annotation of Estimate!!Public Coverage!!Medicaid/means-tested public coverage alone or in combination!!19 to 64 years"
"S2704_C02_008M","Margin of Error!!Public Coverage MOE!!Medicaid/means-tested public coverage alone or in combination!!19 to 64 years"
"S2704_C02_008MA","Annotation of Margin of Error!!Public Coverage MOE!!Medicaid/means-tested public coverage alone or in combination!!19 to 64 years"
"S2704_C03_008E","Estimate!!Percent Public Coverage!!Medicaid/means-tested public coverage alone or in combination!!19 to 64 years"
"S2704_C03_008EA","Annotation of Estimate!!Percent Public Coverage!!Medicaid/means-tested public coverage alone or in combination!!19 to 64 years"
"S2704_C03_008M","Margin of Error!!Percent Public Coverage MOE!!Medicaid/means-tested public coverage alone or in combination!!19 to 64 years"
"S2704_C03_008MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!Medicaid/means-tested public coverage alone or in combination!!19 to 64 years"
"S2704_C02_009E","Estimate!!Public Coverage!!Medicaid/means-tested public coverage alone or in combination!!65 years and over"
"S2704_C02_009EA","Annotation of Estimate!!Public Coverage!!Medicaid/means-tested public coverage alone or in combination!!65 years and over"
"S2704_C02_009M","Margin of Error!!Public Coverage MOE!!Medicaid/means-tested public coverage alone or in combination!!65 years and over"
"S2704_C02_009MA","Annotation of Margin of Error!!Public Coverage MOE!!Medicaid/means-tested public coverage alone or in combination!!65 years and over"
"S2704_C03_009E","Estimate!!Percent Public Coverage!!Medicaid/means-tested public coverage alone or in combination!!65 years and over"
"S2704_C03_009EA","Annotation of Estimate!!Percent Public Coverage!!Medicaid/means-tested public coverage alone or in combination!!65 years and over"
"S2704_C03_009M","Margin of Error!!Percent Public Coverage MOE!!Medicaid/means-tested public coverage alone or in combination!!65 years and over"
"S2704_C03_009MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!Medicaid/means-tested public coverage alone or in combination!!65 years and over"
"S2704_C02_010E","Estimate!!Public Coverage!!VA health care coverage alone or in combination"
"S2704_C02_010EA","Annotation of Estimate!!Public Coverage!!VA health care coverage alone or in combination"
"S2704_C02_010M","Margin of Error!!Public Coverage MOE!!VA health care coverage alone or in combination"
"S2704_C02_010MA","Annotation of Margin of Error!!Public Coverage MOE!!VA health care coverage alone or in combination"
"S2704_C03_010E","Estimate!!Percent Public Coverage!!VA health care coverage alone or in combination"
"S2704_C03_010EA","Annotation of Estimate!!Percent Public Coverage!!VA health care coverage alone or in combination"
"S2704_C03_010M","Margin of Error!!Percent Public Coverage MOE!!VA health care coverage alone or in combination"
"S2704_C03_010MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!VA health care coverage alone or in combination"
"S2704_C02_011E","Estimate!!Public Coverage!!VA health care coverage alone or in combination!!Under 19"
"S2704_C02_011EA","Annotation of Estimate!!Public Coverage!!VA health care coverage alone or in combination!!Under 19"
"S2704_C02_011M","Margin of Error!!Public Coverage MOE!!VA health care coverage alone or in combination!!Under 19"
"S2704_C02_011MA","Annotation of Margin of Error!!Public Coverage MOE!!VA health care coverage alone or in combination!!Under 19"
"S2704_C03_011E","Estimate!!Percent Public Coverage!!VA health care coverage alone or in combination!!Under 19"
"S2704_C03_011M","Margin of Error!!Percent Public Coverage MOE!!VA health care coverage alone or in combination!!Under 19"
"S2704_C03_011MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!VA health care coverage alone or in combination!!Under 19"
"S2704_C03_011EA","Annotation of Estimate!!Percent Public Coverage!!VA health care coverage alone or in combination!!Under 19"
"S2704_C02_012E","Estimate!!Public Coverage!!VA health care coverage alone or in combination!!19 to 64 years"
"S2704_C02_012EA","Annotation of Estimate!!Public Coverage!!VA health care coverage alone or in combination!!19 to 64 years"
"S2704_C02_012M","Margin of Error!!Public Coverage MOE!!VA health care coverage alone or in combination!!19 to 64 years"
"S2704_C02_012MA","Annotation of Margin of Error!!Public Coverage MOE!!VA health care coverage alone or in combination!!19 to 64 years"
"S2704_C03_012E","Estimate!!Percent Public Coverage!!VA health care coverage alone or in combination!!19 to 64 years"
"S2704_C03_012M","Margin of Error!!Percent Public Coverage MOE!!VA health care coverage alone or in combination!!19 to 64 years"
"S2704_C03_012MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!VA health care coverage alone or in combination!!19 to 64 years"
"S2704_C03_012EA","Annotation of Estimate!!Percent Public Coverage!!VA health care coverage alone or in combination!!19 to 64 years"
"S2704_C02_013E","Estimate!!Public Coverage!!VA health care coverage alone or in combination!!65 years and over"
"S2704_C02_013M","Margin of Error!!Public Coverage MOE!!VA health care coverage alone or in combination!!65 years and over"
"S2704_C02_013MA","Annotation of Margin of Error!!Public Coverage MOE!!VA health care coverage alone or in combination!!65 years and over"
"S2704_C02_013EA","Annotation of Estimate!!Public Coverage!!VA health care coverage alone or in combination!!65 years and over"
"S2704_C03_013E","Estimate!!Percent Public Coverage!!VA health care coverage alone or in combination!!65 years and over"
"S2704_C03_013M","Margin of Error!!Percent Public Coverage MOE!!VA health care coverage alone or in combination!!65 years and over"
"S2704_C03_013MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!VA health care coverage alone or in combination!!65 years and over"
"S2704_C03_013EA","Annotation of Estimate!!Percent Public Coverage!!VA health care coverage alone or in combination!!65 years and over"
"S2704_C02_014E","Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Below 138 percent of the poverty threshold"
"S2704_C02_014EA","Annotation of Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Below 138 percent of the poverty threshold"
"S2704_C02_014M","Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Below 138 percent of the poverty threshold"
"S2704_C02_014MA","Annotation of Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Below 138 percent of the poverty threshold"
"S2704_C03_014E","Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Below 138 percent of the poverty threshold"
"S2704_C03_014M","Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Below 138 percent of the poverty threshold"
"S2704_C03_014MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Below 138 percent of the poverty threshold"
"S2704_C03_014EA","Annotation of Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Below 138 percent of the poverty threshold"
"S2704_C02_015E","Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!At or above 138 percent of the poverty threshold"
"S2704_C02_015M","Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!At or above 138 percent of the poverty threshold"
"S2704_C02_015MA","Annotation of Margin of Error!!Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!At or above 138 percent of the poverty threshold"
"S2704_C02_015EA","Annotation of Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!At or above 138 percent of the poverty threshold"
"S2704_C03_015E","Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!At or above 138 percent of the poverty threshold"
"S2704_C03_015EA","Annotation of Estimate!!Percent Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!At or above 138 percent of the poverty threshold"
"S2704_C03_015M","Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!At or above 138 percent of the poverty threshold"
"S2704_C03_015MA","Annotation of Margin of Error!!Percent Public Coverage MOE!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!At or above 138 percent of the poverty threshold"
"S2704_C02_016E","Estimate!!Public Coverage!!PUBLIC HEALTH INSURANCE ALONE OR IN COMBINATION!!Worked full-time, year-round (19-64 years)"
